"company_name","account_number","country","reporting_year","ticker_symbol","isin","disclosure_score","performance_band","parent_account","permission","response_status","scope_1_metric_tonnes_co2e","scope_2_metric_tonnes_co2e","country_location"
"Royal Philips","14709","Netherlands","2011","PHIA NA","NL0000009538","99","A",,"Public","AQ*","426771","470216","(52.132633, 5.291266)"
"International Business Machines (IBM)","9284","USA","2011","IBM US","US4592001014","83","B",,"Public","AQ*","578290","2125986","(37.09024, -95.712891)"
"Bank Central Asia","21417","Indonesia","2011","BBCA IJ","ID1000109507",,,,"Not public","DP",,,"(-0.789275, 113.921327)"
"MasterCard Incorporated","11421","USA","2011","MA US","US57636Q1040","29",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Marathon Oil Corporation","11347","USA","2011","MRO US","US5658491064","47",,,"Public","AQ*","13885000","4924000","(37.09024, -95.712891)"
"Canadian Imperial Bank of Commerce (CIBC)","2683","Canada","2011","CM CN","CA1360691010","69","C",,"Public","AQ*","31287","61938","(56.130366, -106.346771)"
"Ericsson","5811","Sweden","2011","ERICB SS","SE0000108656","82","B",,"Public","AQ*","30000","174000","(60.128161, 18.643501)"
"Saipem","16143","Italy","2011","SPM IM","IT0000068525","45",,,"Not public","AQ*",,,"(41.87194, 12.56738)"
"Kimberly-Clark Corporation","10148","USA","2011","KMB US","US4943681035","70","C",,"Public","AQ*","2611787","3117027","(37.09024, -95.712891)"
"Heineken NV","8212","Netherlands","2011","HEIA NA","NL0000009165","59","D","Heineken Holding NV","Public","AQ*","1201314","789597","(52.132633, 5.291266)"
"Yahoo Japan Corporation","20906","Japan","2011","4689 JP","JP3933800009","11",,,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Banco Bradesco S/A","1395","Brazil","2011","BBDC4 BZ","BRBBDCACNPR8","47",,,"Public","AQ*","4554","20321","(-14.235004, -51.92528)"
"AFLAC Incorporated","362","USA","2011","AFL US","US0010551028","66","E",,"Public","AQ*","4352","23369","(37.09024, -95.712891)"
"Colgate Palmolive Company","3551","USA","2011","CL US","US1941621039","80","B",,"Public","AQ*","267077","425207","(37.09024, -95.712891)"
"Talisman Energy Inc.","18178","Canada","2011","TLM CN","CA87425E1034","36",,,"Public","AQ*","12618000","174000","(56.130366, -106.346771)"
"Fiat","6312","Italy","2011","F IM","IT0001976403","93","A",,"Public","AQ*","414875","1647622","(41.87194, 12.56738)"
"Capital One Financial","2695","USA","2011","COF US","US14040H1059","51","D",,"Public","AQ*","14896","204719","(37.09024, -95.712891)"
"Indian Oil Corporation","9026","India","2011","IOCL IN","INE242A01010",,,,"Not public","DP",,,"(20.593684, 78.96288)"
"Ping An Insurance Company of China","14780","China","2011","2318 HK","CNE1000003X6",,,,"Public","IN",,,"(35.86166, 104.195397)"
"QUALCOMM Inc.","15419","USA","2011","QCOM US","US7475251036","63","C",,"Public","AQ*","57713","39824","(37.09024, -95.712891)"
"China Life Insurance (Taiwan)","22342","Taiwan","2011","2823 TT","CNE1000002L3",,,,,"NR",,,"(23.69781, 120.960515)"
"Newcrest Mining","13115","Australia","2011","NCM AU","AU000000NCM7","59","E",,"Public","AQ*","1430611","798368","(-25.274398, 133.775136)"
"United Overseas Bank","19894","Singapore","2011","UOB SP","SG1M31001969",,,,,"NR",,,"(1.352083, 103.819836)"
"Simon Property Group","17069","USA","2011","SPG US","US8288061091","96","A-",,"Public","AQ*","23432","582837","(37.09024, -95.712891)"
"Jardine Strategic","9707","Hong Kong","2011","JS SP","BMG507641022",,,,"Not public","DP",,,"(22.396428, 114.109497)"
"Yahoo! Inc.","20905","USA","2011","YHOO US","US9843321061","36",,,"Public","AQ*",,,"(37.09024, -95.712891)"
"Credit Suisse","4035","Switzerland","2011","CSGN VX","CH0012138530","81","C",,"Public","AQ*","19946","207174","(46.818188, 8.227512)"
"Nordea Bank","13400","Sweden","2011","NDA SS","SE0000427361","87","B",,"Public","AQ*","236","55970","(60.128161, 18.643501)"
"T.GARANTİ BANKASI A.Ş.","21129","Turkey","2011","GARAN TI","TRAGARAN91N1","74","C",,"Public","AQ*","10703.47","49266.01","(38.963745, 35.243322)"
"Impala Platinum Holdings","8825","South Africa","2011","IMP SJ","ZAE000083648","80","C",,"Public","AQ*","584504","3108473","(-30.559482, 22.937506)"
"Tesco","18574","United Kingdom","2011","TSCO LN","GB0008847096","97","A",,"Public","AQ*","1889765","3483297","(55.378051, -3.435973)"
"Hermes International","8264","France","2011","RMS FP","FR0000052292",,,,,"NR",,,"(46.227638, 2.213749)"
"Total","19257","France","2011","FP FP","FR0000120271","81","B",,"Public","AQ*","51600000","5400000","(46.227638, 2.213749)"
"Cheung Kong","3188","Hong Kong","2011","1 HK","HK0001000014",,,,,"NR",,,"(22.396428, 114.109497)"
"The Tokyo Electric Power Company, Inc (TEPCO)","18517","Japan","2011","9501 JP","JP3585800000",,,,"Not public","DP",,,"(36.204824, 138.252924)"
"BBVA","1613","Spain","2011","BBVA SM","ES0113211835","74","B",,"Public","AQ*","8494","321376","(40.463667, -3.74922)"
"KDDI Corporation","9995","Japan","2011","9433 JP","JP3496400007","34",,,"Public","AQ*","1034","1107248","(36.204824, 138.252924)"
"Samsung Electronics","16191","South Korea","2011","005930 KS","KR7005930003","94","A",,"Public","AQ*","4034000","5876000","(35.907757, 127.766922)"
"Husky Energy Inc.","8675","Canada","2011","HSE CN","CA4480551031","41",,,"Public","AQ*","7547000","1179000","(56.130366, -106.346771)"
"Barclays","1502","United Kingdom","2011","BARC LN","GB0031348658","89","B",,"Public","AQ*","57000","936000","(55.378051, -3.435973)"
"British Sky Broadcasting","2302","United Kingdom","2011","BSY LN","GB0001411924","90","B",,"Public","AQ*","27462","125118","(55.378051, -3.435973)"
"SingTel","13899","Singapore","2011","ST SP","SG1T75931496","55","E",,"Not public","AQ*",,,"(1.352083, 103.819836)"
"METRO AG","11820","Germany","2011","MEO GR","DE0007257503","90","B",,"Public","AQ*","759094","2615684","(51.165691, 10.451526)"
"Lockheed Martin Corporation","10820","USA","2011","LMT US","US5398301094","90","A",,"Public","AQ*","313866","1061122","(37.09024, -95.712891)"
"Aviva","1268","United Kingdom","2011","AV/ LN","GB0002162385","80","B",,"Public","AQ*","63784","68628","(55.378051, -3.435973)"
"3M Company","285","USA","2011","MMM US","US88579Y1010","76","C",,"Public","AQ*","4300000","1950000","(37.09024, -95.712891)"
"Snam S.P.A","17279","Italy","2011","SRG IM","IT0003153415","51","D",,"Public","AQ*","2636000","54900","(41.87194, 12.56738)"
"Hong Kong & China Gas","8558","Hong Kong","2011","3 HK","HK0003000038",,,,"Not public","DP",,,"(22.396428, 114.109497)"
"The Home Depot, Inc.","8526","USA","2011","HD US","US4370761029","82","B",,"Public","AQ*","268091","2805003","(37.09024, -95.712891)"
"Nippon Telegraph & Telephone Corporation (NTT)","13298","Japan","2011","9432 JP","JP3735400008","49",,,"Public","AQ*","224000","3791000","(36.204824, 138.252924)"
"Union Pacific Corporation","19845","USA","2011","UNP US","US9078181081","57","D",,"Public","AQ*","11207344","352660","(37.09024, -95.712891)"
"EMC Corporation","5395","USA","2011","EMC US","US2686481027","88","B",,"Public","AQ*","28031","318035","(37.09024, -95.712891)"
"Praxair, Inc.","15027","USA","2011","PX US","US74005P1049","93","A-",,"Public","AQ*","4350000","10700000","(37.09024, -95.712891)"
"Prudential Financial, Inc.","15306","USA","2011","PRU US","US7443201022","41",,,"Public","AQ*","5836","78534","(37.09024, -95.712891)"
"Allstate Corporation","582","USA","2011","ALL US","US0200021014","89","C",,"Public","AQ*","35504","183474","(37.09024, -95.712891)"
"Teck Resources Limited","21481","Canada","2011","TCK/B CN","CA8787422044","68","E",,"Public","AQ*","2689678","258619","(56.130366, -106.346771)"
"Gazprom OAO","7047","Russia","2011","GAZP RM","RU0007661625","50","D",,"Public","AQ*","131219300",,"(61.52401, 105.318756)"
"H&M Hennes & Mauritz AB","7903","Sweden","2011","HMB SS","SE0000106270","57","D",,"Public","AQ*","11466","270422","(60.128161, 18.643501)"
"Wells Fargo & Company","20575","USA","2011","WFC US","US9497461015","81","A-",,"Public","AQ*","116858","1485930","(37.09024, -95.712891)"
"Seven & I Holdings Co., Ltd.","16728","Japan","2011","3382 JP","JP3422950000","71","C",,"Public","AQ*","17033.98","2598678.96","(36.204824, 138.252924)"
"Chubu Electric Power Co., Inc.","3306","Japan","2011","9502 JP","JP3526600006",,,,"Not public","DP",,,"(36.204824, 138.252924)"
"Corning Incorporated","23254","USA","2011","GLW US","US2193501051","34",,,"Public","AQ*","266635","908817","(37.09024, -95.712891)"
"Mizuho Financial Group, Inc.","12291","Japan","2011","8411 JP","JP3885780001","85","C",,"Public","AQ*","17119.12","181449.01","(36.204824, 138.252924)"
"CIMB Group Holdings","21414","Malaysia","2011","CIMB MK","MYL1023OO000",,,,,"NR",,,"(4.210484, 101.975766)"
"Telekomunikasi Indonesia","18439","Indonesia","2011","TLKM IJ","ID1000129000",,,,,"NR",,,"(-0.789275, 113.921327)"
"Power Financial Corporation","14961","Canada","2011","PWF CN","CA73927C1005",,,,"Not public","DP",,,"(56.130366, -106.346771)"
"Devon Energy Corporation","4678","USA","2011","DVN US","US25179M1036","59","D",,"Public","AQ*","3680000","490000","(37.09024, -95.712891)"
"Svenska Handelsbanken","18061","Sweden","2011","SHBA SS","SE0000193120","76","C",,"Public","AQ*","17.27","8152.31","(60.128161, 18.643501)"
"Visa","22867","USA","2011","V US","US92826C8394","40",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Naspers","12789","South Africa","2011","NPN SJ","ZAE000015889","27",,,"Not public","AQ*",,,"(-30.559482, 22.937506)"
"Reliance Industries","15635","India","2011","RIL IN","INE002A01018",,,,,"NR",,,"(20.593684, 78.96288)"
"Vivendi SA","20319","France","2011","VIV FP","FR0000127771","51","E",,"Public","AQ*","22308","274593","(46.227638, 2.213749)"
"Bank of China","1451","China","2011","3988 HK","CNE1000001Z5",,,,,"NR",,,"(35.86166, 104.195397)"
"NTPC Ltd","12857","India","2011","NTPC IN","INE733E01010",,,,,"NR",,,"(20.593684, 78.96288)"
"Gilead Sciences, Inc.","7345","USA","2011","GILD US","US3755581036","95","B",,"Public","AQ*","29725","37369","(37.09024, -95.712891)"
"Boeing Company","2017","USA","2011","BA US","US0970231058","92","B",,"Public","AQ*","595000","1122000","(37.09024, -95.712891)"
"Ace Ltd.","21320","Switzerland","2011","ACE US","CH0044328745","82","B",,"Public","AQ*","14741","41665","(46.818188, 8.227512)"
"ITC Limited","9535","India","2011","ITC IN","INE154A01025","64","D",,"Public","AQ*","1307766","155273","(20.593684, 78.96288)"
"MTR Corporation","12552","Hong Kong","2011","66 HK","HK0066009694","71","C",,"Public","AQ*","37808","1113168","(22.396428, 114.109497)"
"Steel Authority of India","17769","India","2011","SAIL IN","INE114A01011",,,,,"NR",,,"(20.593684, 78.96288)"
"Canon Inc.","2688","Japan","2011","7751 JP","JP3242800005","80","C",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"CSL","4052","Australia","2011","CSL AU","AU000000CSL8","72","D",,"Public","AQ*","51460","133858","(-25.274398, 133.775136)"
"Thermo Fisher Scientific Inc.","19016","USA","2011","TMO US","US8835561023","35",,,"Public","AQ*",,,"(37.09024, -95.712891)"
"Norfolk Southern Corp.","13425","USA","2011","NSC US","US6558441084","76","B",,"Public","AQ*","4958921","279250","(37.09024, -95.712891)"
"Apache Corporation","804","USA","2011","APA US","US0374111054","65","D",,"Public","AQ*","9860000","1040000","(37.09024, -95.712891)"
"OGX Petróleo e Gás Participações S A","21460","Brazil","2011","OGXP3 BZ","BROGXPACNOR3",,,,"Public","DP",,,"(-14.235004, -51.92528)"
"AT&T Inc.","1113","USA","2011","T US","US00206R1023","72","C",,"Public","AQ*","1105251","7798222","(37.09024, -95.712891)"
"Mobile TeleSystems OJSC","23281","Russia","2011","MTSS RU","RU0007775219",,,,,"NR",,,"(61.52401, 105.318756)"
"Denso Corporation","4566","Japan","2011","6902 JP","JP3551500006",,,,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Pfizer Inc.","14683","USA","2011","PFE US","US7170811035","81","B",,"Public","AQ*","1459943","1247985","(37.09024, -95.712891)"
"E.I. du Pont de Nemours and Company","5115","USA","2011","DD US","US2635341090","80","B",,"Public","AQ*","10749000","4683000","(37.09024, -95.712891)"
