"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"Ecolab Inc.","US2788651006","EQ0010049900001000","ECL US","USA",,,,"Yes, evaluated over the next 5 years","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","No","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"Ecolab Inc.","US2788651006","EQ0010049900001000","ECL US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral",,,,,"Country","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Ecolab Inc.","US2788651006","EQ0010049900001000","ECL US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral",,,,,"Region","WRI Aqueduct",,,,,,,,
"Ecolab Inc.","US2788651006","EQ0010049900001000","ECL US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","For example, Nalco Champion customer operations rely upon fresh water for their core operations, making them sensitive to water quality and availability. Further, we use water to deliver primary services and products to support our customers business operations. Water is the essential deliver mechanism to enable the outcomes our customers expect from us: cleaning, sanitation, heating and cooling.",,,,"River basin","WRI water stress definition",,,,,,,,
"Ecolab Inc.","US2788651006","EQ0010049900001000","ECL US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Vital for operations","For example, Nalco Champion customer operations rely upon recycled and reproduced water for their core operations, making them sensitive to water quality and availability. Further, we use water to deliver primary services and products to support our customers business operations. Water is the essential deliver mechanism to enable the outcomes our customers expect from us: cleaning, sanitation, heating and cooling.",,,,"Facility",,,,,,,,,
"Ecopetrol Sa","COC04PA00016","EQ0000000003163888","ECOPETL CB","Colombia",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","No","Yes",,"Yes","Yes, a company-wide water policy","No","No"
"Eisenwerk Brühl GmbH",,,,"Germany","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all",,,,,,,,,,,,,,
"GIGA-BYTE TECHNOLOGY CO.,LTD","SCGIGA14970",,,"Taiwan",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Yes, direct operations and supply chain","No",,"Yes","No","No","No"
"Ecopetrol Sa","COC04PA00016","EQ0000000003163888","ECOPETL CB","Colombia","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","According the National Water Study (2010) developed by IDEAM at a four year basis, Colombia has no scarcity regions.

Nevertheless, Ecopetrol is constantly developing efforts to favor water offer and minimize the environmental and social impacts related to their operations and as a support for water management and conservation with environmental local and national authorities. 
",,,,"Country","Other: Methodologies developed by water experts at IDEAM",,,,"Senior Manager/Officer",,,,
"Ecopetrol Sa","COC04PA00016","EQ0000000003163888","ECOPETL CB","Colombia","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","In addition, Ecopetrol is pumping and re-injecting water associated to petroleum exploitation in order to minimize and avoid the use of superficial waters.",,,,,,,,,,,,,
"Eisenwerk Brühl GmbH",,,,"Germany","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","We indirect use water for cooling the cupola furnace",,,,,,,,,,,,,
"Ecopetrol Sa","COC04PA00016","EQ0000000003163888","ECOPETL CB","Colombia","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Vital for operations","It is a vital component that will be included later in our water management",,,,,,,,,,,,,
"EDF","FR0010242511","EQ0016206000001000","EDF FP","France",,,,"Other","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","No","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"EDF","FR0010242511","EQ0016206000001000","EDF FP","France","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Water (in terms on quantity and availability) is necessary for the electricity production (hydraulic power plants, nuclear and conventional thermal power plants in cooling systems and in process water –primary and/or secondary circuit). The freshwater represents only 34% of the water drawn for cooling systems at group level. The water quality is important but not vital for nuclear and conventional thermal power plants because it can be treated.",,,,"Facility","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"EDF","FR0010242511","EQ0016206000001000","EDF FP","France","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","Brackish water is very important for the energy production for plants located in estuary. Brackish water represents 15% of the water drawn for cooling systems at group level (seawater represents 51% of water drawn). Recycled water is not essential but a way chosen in some powerplants were it was possible to recycled the freshwater.",,,,"Country","WBCSD Global Water Tool",,,,,,,,
"EDF","FR0010242511","EQ0016206000001000","EDF FP","France","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Water is needed for the generating power supply chain (extraction and refining, fuel production (ethanol, hydrogen)) in terms of quantity, but less in terms of quality.",,,,,,,,,,,,,
"EDF","FR0010242511","EQ0016206000001000","EDF FP","France","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral","The quality of recycled water is not an essential criteria.",,,,,,,,,,,,,
"EDP - Energias de Portugal S.A.","PTEDP0AM0009","EQ0021515900001000","EDP PL","Portugal",,,,"Yes, evaluated over the next 5 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a publicly available company-wide water policy","Yes, significant","Yes, targets and goals"
"EDP - Energias de Portugal S.A.","PTEDP0AM0009","EQ0021515900001000","EDP PL","Portugal","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","EDP uses and consumes a considerable volume of water.
Water is used mostly in the hydro turbines of hydropower plant.
Water is consumed mostly by evaporation in cooling towers.
In both cases water should have a very good quality; otherwise it will cause damage in equipments.
Water is also used in make-up water. This must have very high quality water in order to decrease water treatment costs.
",,,,"Business unit","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"EDP - Energias de Portugal S.A.","PTEDP0AM0009","EQ0021515900001000","EDP PL","Portugal","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important",,,,,,"Life Cycle Assessment",,,,,,,,
"EDP - Energias de Portugal S.A.","PTEDP0AM0009","EQ0021515900001000","EDP PL","Portugal","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","EDP uses coal and gas as prime fossil energy sources. Both fuels consume water in their extraction and transport.",,,,,"WBCSD Global Water Tool",,,,,,,,
"EDP - Energias de Portugal S.A.","PTEDP0AM0009","EQ0021515900001000","EDP PL","Portugal","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,"Water Footprint Network",,,,,,,,
"EDP - Energias de Portugal S.A.","PTEDP0AM0009","EQ0021515900001000","EDP PL","Portugal",,,,,,,,"Life Cycle Assessment",,,,,,,,
"EDP - Energias de Portugal S.A.","PTEDP0AM0009","EQ0021515900001000","EDP PL","Portugal",,,,,,,,"WRI water stress definition",,,,,,,,
"Eisenwerk Brühl GmbH",,,,"Germany",,,,"Not evaluated","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","No","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, goals only"
"Eisenwerk Brühl GmbH",,,,"Germany","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","We direct need good quality fresh water in our moulding process.",,,,"Region","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Eisenwerk Brühl GmbH",,,,"Germany","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","No","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets and goals"
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","We consume water in our manufacturing and production activities. In our parenteral operations, we require exceptionally high-quality water to produce injectable medicines. In addition to water that goes directly into making our products, a large amount of the water that we use supports our utilities areas which provides cooling and produces steam and purified water for production. One of our office facilities has had to stop borewell use and seek an alternate supply.",,,,"Business unit","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","Currently, we only use freshwater. Due to local demands, groundwater extraction at one of our manufacturing sites for cooling water is limited. This site monitors its wells and is required to reduce pumping during drought periods to prevent saltwater intrusion in groundwater and prevent excessive tidal flow further upstream in the river system. This site utilizes a reverse osmosis system to recover water for reuse in cooling systems to reduce its groundwater extraction.",,,,"Facility","UNEP Vital Water Graphics",,,,,,,,
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Our patients must have access to good quality freshwater in order to take oral medicines. Good freshwater is also needed to provide proper sanitation for patients utilising injectable medicines. We consume water in our manufacturing and production activities. Our raw material suppliers and external manufacturing partners also require access to high-quality water to produce raw materials and medicines.",,,,"Facility","Internal company knowledge",,,,,,,,
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important","Our external manufacturing program, which is reviewed by Quality, Health Safety and Environmental and many other organisations, has not identified situations where the lack of sufficient recycled/reclaimed water was an issue across our value chain.",,,,"Region","WRI Aqueduct",,,,,,,,
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA",,,,,,,"Business unit",,,,,,,,,
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA",,,,,,,"Business unit",,,,,,,,,
"Eli Lilly & Co.","US5324571083","EQ0010089400001000","LLY US","USA",,,,,,,"Business unit",,,,,,,,,
"EMC Corporation","US2686481027","EQ0010051300001000","EMC US","USA",,,,"Yes, evaluated over the next 10 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, goals only"
"EMC Corporation","US2686481027","EQ0010051300001000","EMC US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Although EMC has a relatively small operational water footprint, the availability of high quality water is important to us for cooling, drinking and other sanitary purposes. Around the globe, we take a conscientious approach to conserving this important global resource. In our owned and operated facilities, we minimize water consumption, carefully manage wastewater, and protect stormwater quality.",,,,"River basin","WBCSD Global Water Tool",,,,"Senior Manager/Officer",,,,
"EMC Corporation","US2686481027","EQ0010051300001000","EMC US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","At our headquarters in Hopkinton, Massachusetts and our Bangalore, India Center of Excellence, wastewater is reclaimed at the onsite treatment plants, resulting in treated “gray” water which is used for cooling, sanitation, and irrigation. The availability of recycled water helps us to conserve water and mitigate water-related risks.",,,,"Country","WRI Aqueduct",,,,,,,,
"EMC Corporation","US2686481027","EQ0010051300001000","EMC US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Sufficient quantities of high quality water are important across EMC’s value chain. EMC has a long, complex and global supply chain. Lack of access to good quality water has potential to disrupt our supply chain either by disrupting the production capability of our direct or indirect suppliers, or by impacting logistics.  Water is also critical in the production of electricity to power our business and our products. In addition, water is important to our customers for cooling their data centers.",,,,,"WRI water stress definition",,,,,,,,
"Exelon Corporation","US30161N1019","EQ0010117000001000","EXC US","USA",,,,,,,,"Other: US EPA water reports",,,,,,,,
"EMC Corporation","US2686481027","EQ0010051300001000","EMC US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,"FAO/AQUASTAT",,,,,,,,
"EMC Corporation","US2686481027","EQ0010051300001000","EMC US","USA",,,,,,,,"Other: Yale Environmental Performance  Index (EPI)",,,,,,,,
"EMC Corporation","US2686481027","EQ0010051300001000","EMC US","USA",,,,,,,,"Other: Alliance Development Works (ADW) World Risk Index",,,,,,,,
"Emerson Electric Co.","US2910111044","EQ0010051500001000","EMR US","USA",,,,"Not evaluated","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","No","Yes",,"Yes","No","No","No"
"Emerson Electric Co.","US2910111044","EQ0010051500001000","EMR US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Sufficient quantities of good quality water is important to our operations. Water is also used for human consumption, sanitation and irrigation at our facilities.",,,,"Facility",,,,,"Other:",,,,
"Emerson Electric Co.","US2910111044","EQ0010051500001000","EMR US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Have not evaluated",,,,,,,,,,,,,,
"Emerson Electric Co.","US2910111044","EQ0010051500001000","EMR US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Emerson Electric Co.","US2910111044","EQ0010051500001000","EMR US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"EMI Stop",,,,"China",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations and supply chain","Yes",,"No","Yes, a publicly available company-wide water policy","No","Yes, targets only"
"Emirates Wet Wipes",,,,"United Arab Emirates",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a water policy for select facilities only","No","Yes, goals only"
"Emirates Wet Wipes",,,,"United Arab Emirates","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Quality water is one of our main material",,,,"Facility","Other:",,,,"Other Manager/Officer",,,,
"Emirates Wet Wipes",,,,"United Arab Emirates","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all","We are not using recycled water",,,,,,,,,,,,,
"Emirates Wet Wipes",,,,"United Arab Emirates","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Quality water is vital in the operation",,,,,,,,,,,,,
"Emirates Wet Wipes",,,,"United Arab Emirates","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all","Not applicable in our operation",,,,,,,,,,,,,
"Empresas CMPC","CL0000001314","EQ0013611900001000","CMPC CI","Chile",,,,"Yes, evaluated over the next 10 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, goals only"
"Empresas CMPC","CL0000001314","EQ0013611900001000","CMPC CI","Chile","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","The pulp and paper production uses a large amount of freshwater, of which almost 90% is returned to the watercourses after treatment. The replacement of older production lines with the best available technology is essential to decrease the freshwater consumption.",,,,"Region","Regional government databases",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Feng Chuan Electronics Co. Ltd",,,,"China","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations",,,,,,,,,,,,,,,
"Empresas CMPC","CL0000001314","EQ0013611900001000","CMPC CI","Chile","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","The pulp/paper facilities offer a lot of opportunities for water recycling, which require a dedicated program for process innovation.",,,,,"WRI water stress definition",,,,,,,,
"Empresas CMPC","CL0000001314","EQ0013611900001000","CMPC CI","Chile","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Empresas CMPC","CL0000001314","EQ0013611900001000","CMPC CI","Chile","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important",,,,,,,,,,,,,,
"EMULEX CORP",,,,"USA",,,,"Not evaluated","No","Water risks are not assessed",,,"No","No","No",,"No","Yes, a company-wide water policy","No","No"
"EMULEX CORP",,,,"USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important",,,,,,,,,,"Senior Manager/Officer",,,,
"EMULEX CORP",,,,"USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important",,,,,,,,,,,,,,
"EMULEX CORP",,,,"USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral",,,,,,,,,,,,,,
"EMULEX CORP",,,,"USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral",,,,,,,,,,,,,,
"Enbridge Inc.","CA29250N1050","EQ0010954800001000","ENB CN","Canada",,,,"Not evaluated","Don't know","Water risks are not assessed",,,"No","Yes, supply chain only","No",,"No","No","No","No"
"Enbridge Inc.","CA29250N1050","EQ0010954800001000","ENB CN","Canada","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Fresh water is not vital for our operations per se, but is critical for our office buildings and depots (i.e. human consumption).",,,,,,,,,"No individual or committee with overall responsibility for water",,,,
"Enbridge Inc.","CA29250N1050","EQ0010954800001000","ENB CN","Canada","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Sufficient amounts of water are required for the hydrostatic testing of our pipelines to ensure their integrity prior to putting them into service.  Water does not need to be ‘good quality freshwater’ for this purpose.",,,,,,,,,,,,,
"Enbridge Inc.","CA29250N1050","EQ0010954800001000","ENB CN","Canada","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated","The Company has not assessed the importance of rating water used throughout its value chain, although water is critical to the processing of oil and natural gas by our shippers which is a large component of our energy delivery business.",,,,,,,,,,,,,
"Enbridge Inc.","CA29250N1050","EQ0010954800001000","ENB CN","Canada","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","The Company has not assessed the importance of rating water used throughout its value chain, although water is critical to the processing of oil and natural gas by our shippers which is a large component of our energy delivery business.",,,,,,,,,,,,,
"GRUPO PROEZA SA DE CV",,,,"Mexico",,,,,,,,,,,,,,,,
"Encana Corporation","CA2925051047","EQ0011017800001000","ECA CN","Canada","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral","We are committed to responsible use of water for energy production and proactively align our water management approach to local operating conditions and regulatory requirements. We also develop industry-leading best practices
in water management in order to continually improve our approach and regularly report on our performance.
While there is no one-size-fits-all solution to managing our water resources in all of our operating areas, we strive to advance best practices key areas.",,,,"Business unit","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Encana Corporation","CA2925051047","EQ0011017800001000","ECA CN","Canada","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","We are committed to responsible use of water for energy production and proactively align our water management approach to local operating conditions and regulatory requirements. We also develop industry-leading best practices
in water management in order to continually improve our approach and regularly report on our performance.
While there is no one-size-fits-all solution to managing our water resources in all of our operating areas, we strive to advance best practices key areas.",,,,,"Regional government databases",,,,,,,,
"Entergy Corporation","US29364G1031","EQ0010053200001000","ETR US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Encana Corporation","CA2925051047","EQ0011017800001000","ECA CN","Canada","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Water use is a critical part of energy development. Encana uses water throughout its operations, including for both well drilling and completions operations. Advancing best practices in the sourcing, transport and management of water can create competitive advantages, mitigate regulatory risks and help to minimize stakeholder concerns in our operating areas.",,,,,"Other: North East BC Water Tool (NEWT)",,,,,,,,
"Encana Corporation","CA2925051047","EQ0011017800001000","ECA CN","Canada","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Vital for operations","Water use is a critical part of energy development. Encana uses water throughout its operations, including for both well drilling and completions operations. Advancing best practices in the sourcing, transport and management of water can create competitive advantages, mitigate regulatory risks and help to minimize stakeholder concerns in our operating areas.",,,,,,,,,,,,,
"Endesa","ES0130670112","EQ0010051700001000","ELE SM","Spain",,,,"Yes, evaluated over the next 10 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets and goals"
"Endesa","ES0130670112","EQ0010051700001000","ELE SM","Spain","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Current and future water quantity is vital for us as it is required for energy generation (thermal, nuclear and renewable energy). 
A decline in water quality may lead also to negative impacts:
• Disruptions due to equipment damage and thus higher number of maintenance operations required.
• Higher operational costs (increase of water pre-treatment needs or maintenance requirements).
• A significant decline in water quality in reservoirs may pose environmental problems to other water users.
",,,,"Facility","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Endesa","ES0130670112","EQ0010051700001000","ELE SM","Spain","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","Water recycled at our power plants comprise mainly:
• Process water from nuclear plants, reused before being discharged;
• Cooling water used in the gas desulphurization process; 
• Water treated in the waste water treatment plants integrated into our power plants, which is used for irrigation purposes.

Even if we use recycled water it is not considered as a key input for our operations, as the amount of this type of water is low compared with other sources.",,,,"River basin",,,,,,,,,
"Endesa","ES0130670112","EQ0010051700001000","ELE SM","Spain","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important","Our most relevant suppliers are fuel suppliers (mainly coal, gas and oil) whose operations are highly dependent water availability.

Endesa, as part of the Enel Group, was involved in conducting a fuel suppliers’ assessment, which results indicated that about 80% of them operate in water stressed areas. However, salt water is generally used in these production processes, thus not representing a risk of competition with the need for freshwater of local communities.
",,,,"Facility",,,,,,,,,
"Endesa","ES0130670112","EQ0010051700001000","ELE SM","Spain","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","Although we are aware that recycled water is used by our suppliers (eg. process water re-injected in oil/gas wells), we do not have detailed information on the amount of these types of water used, thus its importance has not been evaluated.

In 2013 a methodology for water footprint calculation was defined (including our supply chain). Up to the moment there are only preliminary figures that will be further evaluated enabling us to work closely with our suppliers evaluate its importance.",,,,"Facility",,,,,,,,,
"Endesa","ES0130670112","EQ0010051700001000","ELE SM","Spain",,,,,,,"Facility",,,,,,,,,
"Exelon Corporation","US30161N1019","EQ0010117000001000","EXC US","USA",,,,,,,,"Other: National Weather Service Climate forecasts",,,,,,,,
"ENEL SpA","IT0003128367","EQ0091804900001000","ENEL IM","Italy",,,,"Yes, evaluated over the next 10 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"ENEL SpA","IT0003128367","EQ0091804900001000","ENEL IM","Italy","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","One of our strategic goal inside our Environmental Policy is Mapping and monitoring of all production sites to identify potential water stress and, where necessary, to make a 
more efficient use of the water resource

(see extract of 2013 Env. Report attached)",,,,"Facility","WBCSD Global Water Tool",,,,"Other: Chief Executive Officer",,,,
"ENEL SpA","IT0003128367","EQ0091804900001000","ENEL IM","Italy","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","One of our strategic goal inside our Environmental Policy isinternal recycling of water for industrial uses 

(see extract of 2013 Env. Report attached)",,,,"Facility","Other: MAPEC Process and informatic tool, see above and files attached for more info",,,,,,,,
"Essentra","GB00B0744359","EQ0000000001760430","ESNT LN","United Kingdom",,,,,,,,,,,,,,,,
"ETI SODA",,,,"Turkey",,,,,,,,,,,,,,,,
"ENEL SpA","IT0003128367","EQ0091804900001000","ENEL IM","Italy","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","we consider all the maintenance services' suppliers in water
stressed areas to be exposed to water related risk. To afford this aspect we provide them, where possible,
with desalinated sea water",,,,"Facility","Other: environmental reporting database and dedicated water excel sheet relating to environmental reporting process (see attached files as an example)",,,,,,,,
"ENEL SpA","IT0003128367","EQ0091804900001000","ENEL IM","Italy","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","Although we are aware that recycled water is used by our suppliers, we do not have detailed information on the amount of these types of water used, thus its importance has not been evaluated.
Enel, through Endesa, defined in 2013 a methodology for water footprint calculation  (including our supply chain). Up to the moment there are only preliminary figures that will be further evaluated enabling us to work closely with our suppliers evaluate its importance.
",,,,"Region","Internal company knowledge",,,,,,,,
"ENEL SpA","IT0003128367","EQ0091804900001000","ENEL IM","Italy",,,,,,,"River basin",,,,,,,,,
"Enerplus Corporation","CA2927661025","EQ0019472400060000","ERF CN","Canada",,,,"Not evaluated","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Don't know","Don't know",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, goals only"
"Enerplus Corporation","CA2927661025","EQ0019472400060000","ERF CN","Canada","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Enerplus’ utilizes water for drilling, completions, operations and maintenance.  In most instances non-fresh water can be used in place of fresh water, however non-fresh water must be chemically compatible with the formation and available.",,,,"Country","Other: Enerplus Water Source Decision Tool",,,,"Senior Manager/Officer",,,,
"Enerplus Corporation","CA2927661025","EQ0019472400060000","ERF CN","Canada","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","The use of non-fresh water may add additional costs associated with the treatment of water prior to use to ensure compatibility.  The cost of transportation associated with moving recycled water from point of origin to point of use may make the use of non-fresh water cost prohibitive.",,,,,,,,,,,,,
"Enerplus Corporation","CA2927661025","EQ0019472400060000","ERF CN","Canada","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","This is under evaluation but the assessment is not completed yet.",,,,,,,,,,,,,
"Enerplus Corporation","CA2927661025","EQ0019472400060000","ERF CN","Canada","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","This is under evaluation but the assessment is not completed yet.",,,,,,,,,,,,,
"Entergy Corporation","US29364G1031","EQ0010053200001000","ETR US","USA",,,,"Yes, evaluated over the next 10 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, goals only"
"Entergy Corporation","US29364G1031","EQ0010053200001000","ETR US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Entergy produces electricity from steam electric power plants that use large amounts of freshwater. 84% of Entergy's 30,000 MWs of generating capacity use freshwater for cooling, boiler make-up water and house service water needs. The water quantity, quality, biological diversity and ambient temperatures for each water body are all factors that are all vitally important for Entergy’s current and future power plant operations.",,,,"Region","Other: Entergy is supporting an EPRI project that provides watershed level water mapping for a particular watershed. Entergy has chosen the Lower Arkansas River Basin, which includes our White Bluff and Arkansas Nuclear One plants. The model takes into account historical water body and groundwater usages for every consumer in the basin and models availability for the next 40 years. Then it runs scenarios to guide future decision making for water users in the basin. The idea is that it can be used as a cross-industry tool to ensure sufficient water supply in the future. It can also be used as a site selection tool to determine water availability into the future.",,,,"Senior Manager/Officer",,,,
